as_of,logged_at,filter_commit,list,rank,ticker,company,aggscore
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,REIT,16,IIPR,"Innovative Industrial Properties, Inc.",-2.409641154486856
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,REIT,17,HUFV-A.ST,Hufvudstaden AB (publ),-2.6965097879398625
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,REIT,18,CTRE,"CareTrust REIT, Inc.",-2.8474346238138
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,REIT,19,TRNO,Terreno Realty Corporation,-2.953780004721479
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,REIT,20,EPRT,"Essential Properties Realty Trust, Inc.",-3.2375407341439866
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,REIT,21,SBRA,"Sabra Health Care REIT, Inc.",-3.4542371348254184
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,MINING,1,SLP.L,Sylvania Platinum Ltd,13.09786808340344
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,MINING,2,FRES.L,Fresnillo plc,1.6388375959311532
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,MINING,3,SRB.L,Serabi Gold plc,1.4277405392238802
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,MINING,4,TFPM,Triple Flag Precious Metals Corp.,0.836045802167381
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,MINING,5,DPM.TO,DPM Metals Inc.,0.23073037778906857
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,MINING,6,AU,AngloGold Ashanti plc,0.08238270916717177
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,MINING,7,GFI,Gold Fields Limited,-0.39280485509051993
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,MINING,8,KGC,Kinross Gold Corporation,-0.4128843152024393
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,MINING,9,FSM,Fortuna Mining Corp.,-0.7553776044615628
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,MINING,10,TXG.TO,Torex Gold Resources Inc.,-0.767994416808652
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,MINING,11,EGO,Eldorado Gold Corporation,-0.8045494955379788
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,MINING,12,MSA.TO,Mineros S.A.,-1.3007134849632536
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,MINING,13,KNT.TO,K92 Mining Inc.,-1.3658778572770198
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,MINING,14,ANP.L,Anpario PLC,-1.391941311353083
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,MINING,15,WDO.TO,Wesdome Gold Mines Ltd.,-1.3975442389149086
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,MINING,16,AEM,Agnico Eagle Mines Limited,-2.4958705614336383
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,MINING,17,BVN,Compañía de Minas Buenaventura S.A.A.,-2.666875316302111
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,MINING,18,NEM,Newmont Corporation,-2.823812668902958
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,MINING,19,B,Barrick Mining Corporation,-3.0921340275896494
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,MINING,20,ASM.TO,Avino Silver & Gold Mines Ltd.,-4.731982218405479
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,MINING,21,PAAS,Pan American Silver Corp.,-5.523804867247826
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,MINING,22,IAG,Iamgold Corporation,-7.34011518309361
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,FIN1,1,DC-A.TO,Dundee Corporation,2.003627394522232
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,FIN1,2,CGI.L,"Canadian General Investments, Limited",-0.16674271481500014
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,FIN1,3,LIV.L,Livermore Investments Group Limited,-0.20203049844085808
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,FIN1,4,CGI.TO,"Canadian General Investments, Limited",-0.23509624325043627
