source,verdict,dollarVolume_usd,dollarVolume_basis,floor_usd
EQS.PA,ejected_below_floor,434656.267445,2026-08-21|EUR,1000000.0
UU2.DE,ejected_below_floor,288509.62299999996,2026-08-21|EUR,1000000.0
THEP.PA,ejected_below_floor,381344.3393,2026-08-21|EUR,1000000.0
CEMX.TO,ejected_below_floor,27710.787534,2026-08-21|CAD,1000000.0
0RUJ.L,ejected_below_floor,10549.743919999999,2026-08-21|EUR,1000000.0
0DZJ.L,ejected_below_floor,121.674024,2026-08-21|EUR,1000000.0
BRM.DE,ejected_below_floor,111763.3251072,2026-08-21|EUR,1000000.0
AUB.PA,ejected_below_floor,507739.64175999997,2026-08-21|EUR,1000000.0
0FNZ.L,ejected_below_floor,1510.9023439999999,2026-08-21|EUR,1000000.0
FIV.DE,ejected_below_floor,124797.57917330001,2026-08-21|EUR,1000000.0
0IPY.L,ejected_below_floor,55536.499919999995,2026-08-21|EUR,1000000.0
0N0B.L,ejected_below_floor,602364.3118307472,2026-08-21|NOK,1000000.0
0R20.L,ejected_below_floor,315218.065512,2026-08-21|CAD,1000000.0
TAL.TO,ejected_below_floor,260421.53830000004,2026-08-21|CAD,1000000.0
PTAL.L,ejected_below_floor,177121.561218,2026-08-21|GBp,1000000.0
BWE.OL,ejected_below_floor,660264.198,2026-08-21|NOK,1000000.0
ALCA.ST,ejected_below_floor,50090.094211999996,2026-08-21|SEK,1000000.0
0Q76.L,ejected_below_floor,1106.6741975999998,2026-08-21|EUR,1000000.0
039840.KQ,ejected_below_floor,212371.15450467,2026-08-21|KRW,1000000.0
MCAP.ST,ejected_below_floor,946662.08406,2026-08-21|SEK,1000000.0
BSD.PA,ejected_below_floor,54273.37437199999,2026-08-21|EUR,1000000.0
AEC1.DE,ejected_below_floor,69864.198976,2026-08-21|EUR,1000000.0
CINT,ejected_below_floor,649816.72,2026-08-21|USD,1000000.0
MEDI.OL,ejected_below_floor,526900.1184,2026-08-21|NOK,1000000.0
TII.DE,ejected_below_floor,365195.608994,2026-08-21|EUR,1000000.0
ULTP.L,ejected_below_floor,121131.73372999999,2026-08-21|GBp,1000000.0
0M3Q.L,ejected_below_floor,904731.012,2026-08-21|USD,1000000.0
M4I.DE,ejected_below_floor,397951.445024,2026-08-21|EUR,1000000.0
GIS.DE,ejected_below_floor,143404.0257,2026-08-21|EUR,1000000.0
003090.KS,ejected_below_floor,740116.6095284235,2026-08-21|KRW,1000000.0
0IP9.L,ejected_below_floor,386515.61,2026-08-21|USD,1000000.0
0IWU.L,ejected_below_floor,40935.15085599999,2026-08-21|EUR,1000000.0
FAA.DE,ejected_below_floor,139211.86608,2026-08-21|EUR,1000000.0
CPH.TO,ejected_below_floor,306628.67868,2026-08-21|CAD,1000000.0
KSB.DE,ejected_below_floor,165481.33448,2026-08-21|EUR,1000000.0
POLN.L,ejected_below_floor,861964.867995,2026-08-21|GBp,1000000.0
ALSTW.PA,ejected_below_floor,34497.616,2026-08-21|EUR,1000000.0
ALITL.PA,ejected_below_floor,27440.755699999998,2026-08-21|EUR,1000000.0
0OCD.L,ejected_below_floor,2554.29552,2026-08-21|NOK,1000000.0
DR.TO,ejected_below_floor,381164.50448000006,2026-08-21|CAD,1000000.0
GPE.PA,ejected_below_floor,25868.55016,2026-08-21|EUR,1000000.0
ALDNX.PA,ejected_below_floor,28148.423012,2026-08-21|EUR,1000000.0
185.DE,ejected_below_floor,92196.393858,2026-08-21|EUR,1000000.0
0HPW.L,ejected_below_floor,628380.0,2026-08-21|USD,1000000.0
AINN.DE,ejected_below_floor,6617.0390052,2026-08-21|EUR,1000000.0
LAS-A.TO,ejected_below_floor,226182.5472,2026-08-21|CAD,1000000.0
HP3A.DE,ejected_below_floor,6746.614848,2026-08-21|EUR,1000000.0
0RPZ.L,ejected_below_floor,283936.67652000004,2026-08-21|SEK,1000000.0
PMTA.DE,ejected_below_floor,2464.0621503999996,2026-08-21|EUR,1000000.0
ALERS.PA,ejected_below_floor,29408.285271999994,2026-08-21|EUR,1000000.0
690D.DE,ejected_below_floor,145441.7509278,2026-08-21|EUR,1000000.0
DKUPL.PA,ejected_below_floor,33649.16112,2026-08-21|EUR,1000000.0
0LVJ.L,ejected_below_floor,16558.47,2026-08-21|USD,1000000.0
OZKAP,ejected_below_floor,391411.02,2026-08-21|USD,1000000.0
NTG.DE,ejected_below_floor,130853.76968999999,2026-08-21|EUR,1000000.0
016580.KS,ejected_below_floor,317216.268921456,2026-08-21|KRW,1000000.0
ABSO.ST,ejected_below_floor,55395.58395,2026-08-21|SEK,1000000.0
SDG.L,ejected_below_floor,113228.4839532,2026-08-21|GBp,1000000.0
TM5.DE,ejected_below_floor,196586.10994639999,2026-08-21|EUR,1000000.0
ODF.OL,ejected_below_floor,468138.7549439999,2026-08-21|NOK,1000000.0
MACF.L,ejected_below_floor,206940.28980625,2026-08-21|GBp,1000000.0
0R9T.L,ejected_below_floor,40279.57960600001,2026-08-21|EUR,1000000.0
016880.KS,ejected_below_floor,443555.60605080076,2026-08-21|KRW,1000000.0
COMB.BR,ejected_below_floor,117128.73,2026-08-21|EUR,1000000.0
CEN.PA,ejected_below_floor,91559.70306,2026-08-21|EUR,1000000.0
0RQO.L,ejected_below_floor,382845.8964362106,2026-08-21|SEK,1000000.0
VTAS.L,ejected_below_floor,19176.0482088,2026-08-21|GBp,1000000.0
0OPJ.L,ejected_below_floor,209010.0534016,2026-08-21|EUR,1000000.0
FCMC.PA,ejected_below_floor,59997.8808,2026-08-21|EUR,1000000.0
ZOE.DE,ejected_below_floor,185266.25336760003,2026-08-21|EUR,1000000.0
DECB.BR,ejected_below_floor,237264.44003679996,2026-08-21|EUR,1000000.0
ALLEX.PA,ejected_below_floor,167154.93503999998,2026-08-21|EUR,1000000.0
TEL2-A.ST,ejected_below_floor,19320.624180000003,2026-08-21|SEK,1000000.0
CHEF.ST,ejected_below_floor,480307.43544000003,2026-08-21|SEK,1000000.0
ARC.L,ejected_below_floor,12550.21320945,2026-08-21|GBp,1000000.0
