pool,source,n_flags,flags,status,note
general,ACAD.ST,1,uCurrentRatio,EJECTED,
general,ACHV,2,"returnOnAssets, uInterestCoverage",EJECTED,
general,ACKB.BR,2,"netDebtToEBITDA, uCurrentRatio",EJECTED,
general,ACO-X.TO,1,netDebtToEBITDA,EJECTED,
general,AD.AS,1,uCurrentRatio,EJECTED,
general,ADP.PA,1,netDebtToEBITDA,EJECTED,
general,ADSK,1,uCurrentRatio,EJECTED,
general,ADUR,2,"returnOnAssets, uInterestCoverage",EJECTED,
general,ADV,3,"netDebtToEBITDA, returnOnAssets, uInterestCoverage",EJECTED,
general,AEP,2,"netDebtToEBITDA, uCurrentRatio",EJECTED,
general,AF.PA,1,uCurrentRatio,EJECTED,
general,AFN.TO,1,netDebtToEBITDA,EJECTED,
general,AG1.DE,2,"CFOlessEarnings, netDebtToEBITDA",EJECTED,
